spdomain,food_povline_ent,povline_ent_m,fdshr
"Kampala",253.97,922.7589,.275229
"Central urban",183.63,638.1333,.2877612
"Central rural",212.53,521.7432,.407346
"Eastern urban",222.92,591.6458,.3767795
"Eastern rural",196.14,415.0657,.4725516
"Northern urban",113.48,335.9622,.3377761
"Northern rural",79.34,208.9561,.379697
"Western urban",227.28,682.1301,.3331916
"Western rural",190.81,459.6114,.4151551
