"spdomain","flex","ent"
"1",264.65,265.40
"2",254.20,265.98
"3",270.29,222.42
"4",177.58,232.97
"5",185.43,204.89
"6",74.10,89.55
"7",66.69,79.30
"8",311.83,238.70
"9",315.49,213.90
