spdomain,food_povline_ent,povline_ent_m,fdshr
"Central",711.81,1005.181,.7081412
"Eastern",596.31,773.6624,.7707626
"Northern",478.65,652.8669,.733151
"Western",764.09,1014.421,.7532281
,,,
