" ","1","2","3","4","5"
"1",607,784,622,757,555
"2",734,748,748,860,720
"3",586,724,511,533,501
"4",703,762,451,439,519
"5",637,779,671,742,591




"1",556,715,568,695,509
"2",662,672,675,779,651
"3",594,735,516,540,509
"4",788,869,516,500,583
"5",556,672,579,634,509

