spdomain,food_povline_ent,povline_ent_m,fdshr
"central rural",762.04,1059.118,.7195043
"Central urban",715.24,1078.772,.6630132
"Eastern",732.78,1036.35,.707078
"Northern",456.33,644.4509,.7080912
"Western",805,1101.525,.7308052
